teff	tefferr	logg	loggerr	feh	feherr	author	bibcode
6000 	--	--	--	-0.350	0.070	Favata	1997A&A...323..809F
6015	80	3.800	0.080	-0.280	0.070	Bruntt	2010MNRAS.405.1907B
6019	--	3.930	--	-0.370	0.050	Ramirez	2007A&A...465..271R
6073	78	3.910	0.030	-0.300	0.050	Ramirez	2013ApJ...764...78R
6078	141	3.980	0.100	-0.300	0.030	Allende-Prieto	2004A&A...420..183A
6110	240	--	--	--	--	Sokolov	1995A&AS..110..553S
6152	--	4.150	--	-0.270	--	Balachandran	1990ApJ...354..310B
6170	35	3.930	0.020	-0.206	0.025	Gonzalez	2010MNRAS.403.1368G
6199	50	3.920	0.080	-0.180	0.040	Bensby	2014A&A...562A..71B
6222	--	--	--	--	--	Casagrande	2011A&A...530A.138C
6240	50	4.270	0.150	-0.200	0.060	Santos	2001A&A...373.1019S
6275	57	4.400	0.370	-0.190	0.060	Santos	2004A&A...415.1153S
6280	--	4.260	--	-0.240	0.050	Luck	2005AJ....129.1063L
